city_ascii,country,region,latitude,longitude,population,iso2,iso3,admin_name,city
Kabul,Afghanistan,Asia & Pacific ,34.5328,69.1658,3678034,AF,AFG,Kābul,Kabul
Kandahar,Afghanistan,Asia & Pacific ,31.6078,65.7053,491500,AF,AFG,Kandahār,Kandahār
Herat,Afghanistan,Asia & Pacific ,34.3738,62.1792,436300,AF,AFG,Herāt,Herāt
Mazar-e Sharif,Afghanistan,Asia & Pacific ,36.7,67.1167,427600,AF,AFG,Balkh,Mazār-e Sharīf
Kunduz,Afghanistan,Asia & Pacific ,36.728,68.8725,259809,AF,AFG,Kunduz,Kunduz
Jalalabad,Afghanistan,Asia & Pacific ,34.4303,70.4528,205423,AF,AFG,Nangarhār,Jalālābād
Lashkar Gah,Afghanistan,Asia & Pacific ,31.5938,64.3716,201546,AF,AFG,Helmand,Lashkar Gāh
Maimanah,Afghanistan,Asia & Pacific ,35.9302,64.7701,199795,AF,AFG,Fāryāb,Maīmanah
Shibirghan,Afghanistan,Asia & Pacific ,36.665,65.752,175599,AF,AFG,Jowzjān,Shibirghān
Khost,Afghanistan,Asia & Pacific ,33.3333,69.9167,160214,AF,AFG,Khōst,Khōst
Ghazni,Afghanistan,Asia & Pacific ,33.5492,68.4233,143379,AF,AFG,Ghaznī,Ghaznī
Pul-e Khumri,Afghanistan,Asia & Pacific ,35.95,68.7,113500,AF,AFG,Baghlān,Pul-e Khumrī
Gardez,Afghanistan,Asia & Pacific ,33.5931,69.2297,103601,AF,AFG,Paktiyā,Gardēz
Taluqan,Afghanistan,Asia & Pacific ,36.7167,69.5167,77000,AF,AFG,Takhār,Tāluqān
Farah,Afghanistan,Asia & Pacific ,32.3436,62.1194,73647,AF,AFG,Farāh,Farāh
Faizabad,Afghanistan,Asia & Pacific ,37.1298,70.5792,64704,AF,AFG,Badakhshān,Faīẕābād
Bamyan,Afghanistan,Asia & Pacific ,34.8167,67.8167,61863,AF,AFG,Bāmyān,Bāmyān
Charikar,Afghanistan,Asia & Pacific ,35.0183,69.1679,53676,AF,AFG,Parwān,Chārīkār
Sar-e Pul,Afghanistan,Asia & Pacific ,36.2214,65.9278,51075,AF,AFG,Sar-e Pul,Sar-e Pul
Zaranj,Afghanistan,Asia & Pacific ,30.96,61.86,49851,AF,AFG,Nīmrōz,Zaranj
Asadabad,Afghanistan,Asia & Pacific ,34.8742,71.1528,48400,AF,AFG,Kunaṟ,Asadābād
Maidan Shahr,Afghanistan,Asia & Pacific ,34.3972,68.8697,35008,AF,AFG,Wardak,Maīdān Shahr
Mehtar Lam,Afghanistan,Asia & Pacific ,34.65,70.1833,17345,AF,AFG,Laghmān,Mehtar Lām
Fayroz Koh,Afghanistan,Asia & Pacific ,34.5225,65.2517,15000,AF,AFG,Ghōr,Fayrōz Kōh
Qalat,Afghanistan,Asia & Pacific ,32.1061,66.9069,12191,AF,AFG,Zābul,Qalāt
Tarin Kot,Afghanistan,Asia & Pacific ,32.6333,65.8667,10000,AF,AFG,Uruzgān,Tarīn Kōṯ
Mahmud-e Raqi,Afghanistan,Asia & Pacific ,35.0167,69.3333,7407,AF,AFG,Kāpīsā,Maḩmūd-e Rāqī
Qal`ah-ye Now,Afghanistan,Asia & Pacific ,34.99,63.12,5340,AF,AFG,Bādghīs,Qal‘ah-ye Now
Aibak,Afghanistan,Asia & Pacific ,36.2534,68.0394,4938,AF,AFG,Samangān,Aībak
Pul-e `Alam,Afghanistan,Asia & Pacific ,33.9953,69.0227,,AF,AFG,Lōgar,Pul-e ‘Alam
Sharan,Afghanistan,Asia & Pacific ,33.1757,68.7304,,AF,AFG,Paktīkā,Sharan
Nili,Afghanistan,Asia & Pacific ,33.7218,66.1302,,AF,AFG,Dāykundī,Nīlī
Bazarak,Afghanistan,Asia & Pacific ,35.3129,69.5152,,AF,AFG,Panjshir,Bāzārak
Parun,Afghanistan,Asia & Pacific ,35.4206,70.9226,,AF,AFG,Nūristān,Pārūn
Balkh,Afghanistan,Asia & Pacific ,36.7581,66.8989,77000,AF,AFG,Balkh,Balkh
Baghlan,Afghanistan,Asia & Pacific ,36.1328,68.7,39228,AF,AFG,Baghlān,Baghlān
Kotah-ye `Ashro,Afghanistan,Asia & Pacific ,34.45,68.8,35008,AF,AFG,Wardak,Kōṯah-ye ‘As̲h̲rō
Khulm,Afghanistan,Asia & Pacific ,36.6833,67.6833,28078,AF,AFG,Balkh,Khulm
Khanabad,Afghanistan,Asia & Pacific ,36.6831,69.1636,26803,AF,AFG,Kunduz,Khānābād
Baraki Barak,Afghanistan,Asia & Pacific ,33.9667,68.9667,22305,AF,AFG,Lōgar,Barakī Barak
Qal`ah-ye Zal,Afghanistan,Asia & Pacific ,37.015,68.4672,18000,AF,AFG,Kunduz,Qal‘ah-ye Zāl
Karukh,Afghanistan,Asia & Pacific ,34.4868,62.5918,17484,AF,AFG,Herāt,Karukh
Zarghun Shahr,Afghanistan,Asia & Pacific ,32.85,68.4167,13737,AF,AFG,Paktīkā,Zarghūn Shahr
Andkhoy,Afghanistan,Asia & Pacific ,36.95,65.1167,13137,AF,AFG,Fāryāb,Andkhōy
Tirana,Albania,Europe ,41.33,19.82,418495,AL,ALB,Tiranë,Tirana
Durres,Albania,Europe ,41.3167,19.45,142432,AL,ALB,Durrës,Durrës
Vlore,Albania,Europe ,40.45,19.4833,130827,AL,ALB,Vlorë,Vlorë
Kamez,Albania,Europe ,41.3833,19.7667,126777,AL,ALB,Tiranë,Kamëz
Fier,Albania,Europe ,40.7167,19.55,120655,AL,ALB,Fier,Fier
Shkoder,Albania,Europe ,42.0667,19.5,112276,AL,ALB,Shkodër,Shkodër
Elbasan,Albania,Europe ,41.1125,20.0822,78703,AL,ALB,Elbasan,Elbasan
Korce,Albania,Europe ,40.6167,20.7667,51152,AL,ALB,Korçë,Korçë
Berat,Albania,Europe ,40.7049,19.9497,36496,AL,ALB,Berat,Berat
Gjirokaster,Albania,Europe ,40.0758,20.1389,25301,AL,ALB,Gjirokastër,Gjirokastër
Lezhe,Albania,Europe ,41.7805,19.6434,15510,AL,ALB,Lezhë,Lezhë
Kukes,Albania,Europe ,42.0758,20.4231,16719,AL,ALB,Kukës,Kukës
Peshkopi,Albania,Europe ,41.6831,20.4289,13251,AL,ALB,Dibër,Peshkopi
Sarande,Albania,Europe ,39.8833,20.0167,41000,AL,ALB,Vlorë,Sarandë
Lushnje,Albania,Europe ,40.9333,19.7,31105,AL,ALB,Fier,Lushnjë
Kavaje,Albania,Europe ,41.1833,19.55,29354,AL,ALB,Tiranë,Kavajë
Pogradec,Albania,Europe ,40.9,20.65,20848,AL,ALB,Korçë,Pogradec
Fushe-Kruje,Albania,Europe ,41.4833,19.7167,18477,AL,ALB,Durrës,Fushë-Krujë
Lac,Albania,Europe ,41.6353,19.7131,17086,AL,ALB,Lezhë,Laç
Sukth,Albania,Europe ,41.3833,19.5333,15966,AL,ALB,Durrës,Sukth
Patos,Albania,Europe ,40.6841,19.6194,15397,AL,ALB,Fier,Patos
Kucove,Albania,Europe ,40.8039,19.9144,12654,AL,ALB,Berat,Kuçovë
Kruje,Albania,Europe ,41.5178,19.7978,11721,AL,ALB,Durrës,Krujë
Burrel,Albania,Europe ,41.6,20,10862,AL,ALB,Dibër,Burrel
Vore,Albania,Europe ,41.3939,19.6544,10901,AL,ALB,Tiranë,Vorë
Gramsh,Albania,Europe ,40.8667,20.1833,8440,AL,ALB,Elbasan,Gramsh
Shijak,Albania,Europe ,41.3456,19.5672,7568,AL,ALB,Durrës,Shijak
Belsh,Albania,Europe ,40.9833,19.8833,8781,AL,ALB,Elbasan,Belsh
Rreshen,Albania,Europe ,41.7667,19.8833,8803,AL,ALB,Lezhë,Rrëshen
Ballsh,Albania,Europe ,40.5991,19.7359,7657,AL,ALB,Fier,Ballsh
Mamurras,Albania,Europe ,41.5775,19.6922,8282,AL,ALB,Lezhë,Mamurras
Divjake,Albania,Europe ,40.9964,19.5327,8445,AL,ALB,Fier,Divjakë
Bulqize,Albania,Europe ,41.5,20.2167,8177,AL,ALB,Dibër,Bulqizë
Shengjin,Albania,Europe ,41.8136,19.5939,8091,AL,ALB,Lezhë,Shëngjin
Vau i Dejes,Albania,Europe ,42,19.6333,8117,AL,ALB,Shkodër,Vau i Dejës
Rrogozhine,Albania,Europe ,41.0761,19.6667,7049,AL,ALB,Tiranë,Rrogozhinë
Peqin,Albania,Europe ,41.05,19.75,6353,AL,ALB,Elbasan,Peqin
Bilisht,Albania,Europe ,40.6275,20.99,7114,AL,ALB,Korçë,Bilisht
Librazhd,Albania,Europe ,41.1833,20.3167,6937,AL,ALB,Elbasan,Librazhd
Cerrik,Albania,Europe ,41.0333,19.9833,6695,AL,ALB,Elbasan,Cërrik
Roskovec,Albania,Europe ,40.7375,19.7022,6657,AL,ALB,Fier,Roskovec
Permet,Albania,Europe ,40.2333,20.35,5945,AL,ALB,Gjirokastër,Përmet
Perrenjas,Albania,Europe ,41.0667,20.55,5847,AL,ALB,Elbasan,Përrenjas
Krume,Albania,Europe ,42.1961,20.4146,6006,AL,ALB,Kukës,Krumë
Delvine,Albania,Europe ,39.9494,20.0958,5754,AL,ALB,Vlorë,Delvinë
Bajram Curri,Albania,Europe ,42.3582,20.076,5340,AL,ALB,Kukës,Bajram Curri
Tepelene,Albania,Europe ,40.3,20.0167,4342,AL,ALB,Gjirokastër,Tepelenë
Erseke,Albania,Europe ,40.3333,20.6833,3746,AL,ALB,Korçë,Ersekë
Corovode,Albania,Europe ,40.5042,20.2272,4051,AL,ALB,Berat,Çorovodë
Puke,Albania,Europe ,42.05,19.9,3607,AL,ALB,Shkodër,Pukë
Algiers,Algeria,Arab States ,36.7764,3.0586,3415811,DZ,DZA,Alger,Algiers
Oran,Algeria,Arab States ,35.6969,-0.6331,852000,DZ,DZA,Oran,Oran
Constantine,Algeria,Arab States ,36.365,6.6147,448374,DZ,DZA,Constantine,Constantine
Blida,Algeria,Arab States ,36.4722,2.8333,331779,DZ,DZA,Blida,Blida
Batna,Algeria,Arab States ,35.55,6.1667,290645,DZ,DZA,Batna,Batna
Setif,Algeria,Arab States ,36.19,5.41,288461,DZ,DZA,Sétif,Sétif
Djelfa,Algeria,Arab States ,34.6667,3.25,265833,DZ,DZA,Djelfa,Djelfa
Annaba,Algeria,Arab States ,36.9,7.7667,257359,DZ,DZA,Annaba,Annaba
Sidi Bel Abbes,Algeria,Arab States ,35.2,-0.6333,212935,DZ,DZA,Sidi Bel Abbès,Sidi Bel Abbès
Biskra,Algeria,Arab States ,34.85,5.7333,204661,DZ,DZA,Biskra,Biskra
Tebessa,Algeria,Arab States ,35.4,8.1167,194461,DZ,DZA,Tébessa,Tébessa
Tiaret,Algeria,Arab States ,35.3667,1.3167,178915,DZ,DZA,Tiaret,Tiaret
El Oued,Algeria,Arab States ,33.3704,6.86,177497,DZ,DZA,El Oued,El Oued
Bejaia,Algeria,Arab States ,36.75,5.0667,176139,DZ,DZA,Bejaïa,Bejaïa
Tlemcen,Algeria,Arab States ,34.8828,-1.3167,173531,DZ,DZA,Tlemcen,Tlemcen
Bordj Bou Arreridj,Algeria,Arab States ,36.0667,4.7667,168346,DZ,DZA,Bordj Bou Arréridj,Bordj Bou Arreridj
Skikda,Algeria,Arab States ,36.8667,6.9,163318,DZ,DZA,Skikda,Skikda
Chlef,Algeria,Arab States ,36.1647,1.3317,155134,DZ,DZA,Chlef,Chlef
M'Sila,Algeria,Arab States ,35.7,4.545,150000,DZ,DZA,M’sila,M’Sila
Jijel,Algeria,Arab States ,36.822,5.766,148000,DZ,DZA,Jijel,Jijel
Mostaganem,Algeria,Arab States ,35.9333,0.0903,145696,DZ,DZA,Mostaganem,Mostaganem
Tizi Ouzou,Algeria,Arab States ,36.8,4.0333,144000,DZ,DZA,Tizi Ouzou,Tizi Ouzou
Saida,Algeria,Arab States ,34.8404,0.14,142213,DZ,DZA,Saïda,Saïda
Touggourt,Algeria,Arab States ,33.1,6.0667,143270,DZ,DZA,Ouargla,Touggourt
Bechar,Algeria,Arab States ,31.6111,-2.23,143382,DZ,DZA,Béchar,Béchar
Medea,Algeria,Arab States ,36.2675,2.75,138355,DZ,DZA,Médéa,Médéa
Souk Ahras,Algeria,Arab States ,36.2904,7.95,134947,DZ,DZA,Souk Ahras,Souk Ahras
Ouargla,Algeria,Arab States ,31.95,5.3167,133024,DZ,DZA,Ouargla,Ouargla
Guelma,Algeria,Arab States ,36.466,7.428,123590,DZ,DZA,Guelma,Guelma
Ghardaia,Algeria,Arab States ,32.49,3.67,125480,DZ,DZA,Ghardaïa,Ghardaïa
Laghouat,Algeria,Arab States ,33.81,2.88,113872,DZ,DZA,Laghouat,Laghouat
Khenchela,Algeria,Arab States ,35.4167,7.1333,108580,DZ,DZA,Khenchela,Khenchela
Mascara,Algeria,Arab States ,35.4,0.1333,108587,DZ,DZA,Mascara,Mascara
Oum el Bouaghi,Algeria,Arab States ,35.8706,7.115,100821,DZ,DZA,Oum el Bouaghi,Oum el Bouaghi
Tamanrasset,Algeria,Arab States ,22.785,5.5228,76000,DZ,DZA,Tamanrasset,Tamanrasset
Tissemsilt,Algeria,Arab States ,35.6072,1.8106,75197,DZ,DZA,Tissemsilt,Tissemsilt
Bouira,Algeria,Arab States ,36.3783,3.8925,68545,DZ,DZA,Bouira,Bouira
El Bayadh,Algeria,Arab States ,33.6904,1.01,67413,DZ,DZA,El Bayadh,El Bayadh
Adrar,Algeria,Arab States ,27.8742,-0.2939,56910,DZ,DZA,Adrar,Adrar
Boumerdes,Algeria,Arab States ,36.7594,3.4728,41685,DZ,DZA,Boumerdes,Boumerdes
El Tarf,Algeria,Arab States ,36.7669,8.3136,25594,DZ,DZA,El Tarf,El Tarf
Tipasa,Algeria,Arab States ,36.5942,2.443,25225,DZ,DZA,Tipaza,Tipasa
Tindouf,Algeria,Arab States ,27.6742,-8.1478,18270,DZ,DZA,Tindouf,Tindouf
Illizi,Algeria,Arab States ,26.4834,8.4666,7957,DZ,DZA,Illizi,Illizi
Relizane,Algeria,Arab States ,35.7373,0.556,,DZ,DZA,Relizane,Relizane
Ain Temouchent,Algeria,Arab States ,35.2975,-1.1404,,DZ,DZA,Aïn Temouchent,Aïn Temouchent
Ain Defla,Algeria,Arab States ,36.2641,1.9679,,DZ,DZA,Aïn Defla,Aïn Defla
Mila,Algeria,Arab States ,36.4503,6.2644,,DZ,DZA,Mila,Mila
Naama,Algeria,Arab States ,33.2667,-0.3167,,DZ,DZA,Naama,Naama
Ain Sefra,Algeria,Arab States ,32.7604,-0.5799,63420,DZ,DZA,Naama,Aïn Sefra
Timimoun,Algeria,Arab States ,29.2365,0.27,49237,DZ,DZA,Adrar,Timimoun
I-n-Salah,Algeria,Arab States ,27.2166,2.4666,49223,DZ,DZA,Tamanrasset,I-n-Salah
Reggane,Algeria,Arab States ,26.7,0.1666,32974,DZ,DZA,Adrar,Reggane
El Golea,Algeria,Arab States ,30.5666,2.8833,32049,DZ,DZA,Ghardaïa,El Golea
Hassi Messaoud,Algeria,Arab States ,31.7023,6.0545,18124,DZ,DZA,Ouargla,Hassi Messaoud
Bordj Mokhtar,Algeria,Arab States ,21.3289,0.9542,16437,DZ,DZA,Adrar,Bordj Mokhtar
Djanet,Algeria,Arab States ,24.555,9.4853,14655,DZ,DZA,Illizi,Djanet
Abadla,Algeria,Arab States ,31.0171,-2.7333,14364,DZ,DZA,Béchar,Abadla
In Guezzam,Algeria,Arab States ,19.5686,5.7722,7045,DZ,DZA,Tamanrasset,In Guezzam
Beni Ounif,Algeria,Arab States ,32.0493,-1.2514,5628,DZ,DZA,Béchar,Beni Ounif
I-n-Amguel,Algeria,Arab States ,23.6939,5.1647,3030,DZ,DZA,Tamanrasset,I-n-Amguel
I-n-Amenas,Algeria,Arab States ,28.0503,9.55,216,DZ,DZA,Illizi,I-n-Amenas
Pago Pago,American Samoa,Asia & Pacific ,-14.274,-170.7046,12576,AS,ASM,,Pago Pago
Andorra la Vella,Andorra,Europe ,42.5,1.5,22151,AD,AND,Andorra la Vella,Andorra la Vella
Escaldes-Engordany,Andorra,Europe ,42.5085,1.5385,,AD,AND,Escaldes-Engordany,Escaldes-Engordany
Encamp,Andorra,Europe ,42.5167,1.5667,,AD,AND,Encamp,Encamp
La Massana,Andorra,Europe ,42.5434,1.5148,,AD,AND,La Massana,La Massana
Sant Julia de Loria,Andorra,Europe ,42.4664,1.4933,,AD,AND,Sant Julià de Lòria,Sant Julià de Lòria
Ordino,Andorra,Europe ,42.555,1.5331,,AD,AND,Ordino,Ordino
Canillo,Andorra,Europe ,42.567,1.5981,,AD,AND,Canillo,Canillo
Luanda,Angola,Africa ,-8.8383,13.2344,8417000,AO,AGO,Luanda,Luanda
Huambo,Angola,Africa ,-12.7667,15.7333,665564,AO,AGO,Huambo,Huambo
Cabinda,Angola,Africa ,-5.55,12.2,550000,AO,AGO,Cabinda,Cabinda
Benguela,Angola,Africa ,-12.55,13.4167,513000,AO,AGO,Benguela,Benguela
Lobito,Angola,Africa ,-12.37,13.5412,207932,AO,AGO,Benguela,Lobito
Mocamedes,Angola,Africa ,-15.1953,12.1508,162000,AO,AGO,Namibe,Moçâmedes
Porto Amboim,Angola,Africa ,-10.7183,13.75,137000,AO,AGO,Kwanza Sul,Porto Amboim
Malanje,Angola,Africa ,-9.54,16.34,125856,AO,AGO,Malanje,Malanje
Cuito,Angola,Africa ,-12.38,16.94,114286,AO,AGO,Bié,Cuito
Uige,Angola,Africa ,-7.62,15.05,60008,AO,AGO,Uíge,Uíge
Mbanza Kongo,Angola,Africa ,-6.2667,14.25,60182,AO,AGO,Zaire,Mbanza Kongo
Saurimo,Angola,Africa ,-9.6596,20.39,41316,AO,AGO,Lunda Sul,Saurimo
Caxito,Angola,Africa ,-8.6467,13.6642,28224,AO,AGO,Bengo,Caxito
Sumbe,Angola,Africa ,-11.2052,13.8417,26000,AO,AGO,Kwanza Sul,Sumbe
Luena,Angola,Africa ,-11.79,19.9,21115,AO,AGO,Moxico,Luena
Menongue,Angola,Africa ,-14.6666,17.7,13030,AO,AGO,Kuando Kubango,Menongue
Dundo,Angola,Africa ,-7.38,20.83,11985,AO,AGO,Lunda Norte,Dundo
Ondjiva,Angola,Africa ,-17.0667,15.7333,10169,AO,AGO,Cunene,Ondjiva
Ndalatando,Angola,Africa ,-9.3,14.9167,8144,AO,AGO,Kwanza Norte,Ndalatando
Lubango,Angola,Africa ,-14.9167,13.5,,AO,AGO,Huíla,Lubango
Tombua,Angola,Africa ,-15.8,11.85,90000,AO,AGO,Namibe,Tômbua
Capenda Camulemba,Angola,Africa ,-9.4196,18.43,80000,AO,AGO,Lunda Norte,Capenda Camulemba
Soio,Angola,Africa ,-6.1296,12.37,67491,AO,AGO,Zaire,Soio
Lucapa,Angola,Africa ,-8.4196,20.74,31041,AO,AGO,Lunda Norte,Lucapa
Mavinga,Angola,Africa ,-15.7895,20.36,30000,AO,AGO,Kuando Kubango,Mavinga
Nzeto,Angola,Africa ,-7.2296,12.86,21059,AO,AGO,Zaire,Nzeto
Camacupa,Angola,Africa ,-12.0196,17.47,19828,AO,AGO,Bié,Camacupa
Luau,Angola,Africa ,-10.7095,22.23,18465,AO,AGO,Moxico,Luau
Ambriz,Angola,Africa ,-7.855,13.125,17000,AO,AGO,Bengo,Ambriz
Camabatela,Angola,Africa ,-8.1896,15.37,12837,AO,AGO,Kwanza Norte,Camabatela
Uacu Cungo,Angola,Africa ,-11.3583,15.1194,12069,AO,AGO,Kwanza Sul,Uacu Cungo
Songo,Angola,Africa ,-7.3496,14.85,10579,AO,AGO,Uíge,Songo
Dondo,Angola,Africa ,-9.6942,14.4228,2353,AO,AGO,Kwanza Norte,Dondo
Xangongo,Angola,Africa ,-16.7467,14.9747,447,AO,AGO,Cunene,Xangongo
Quibala,Angola,Africa ,-10.7296,14.98,8915,AO,AGO,Kwanza Sul,Quibala
Cubal,Angola,Africa ,-13.0396,14.24,4837,AO,AGO,Benguela,Cubal
Muconda,Angola,Africa ,-10.5996,21.32,2324,AO,AGO,Lunda Sul,Muconda
Chibemba,Angola,Africa ,-15.7496,14.08,1502,AO,AGO,Huíla,Chibemba
Chibia,Angola,Africa ,-15.1896,13.69,1411,AO,AGO,Huíla,Chibia
Cangamba,Angola,Africa ,-13.6996,19.86,1307,AO,AGO,Moxico,Cangamba
Cacolo,Angola,Africa ,-10.1496,19.26,984,AO,AGO,Lunda Sul,Cacolo
Calulo,Angola,Africa ,-9.9996,14.9,795,AO,AGO,Kwanza Sul,Calulo
Calenga,Angola,Africa ,-11.3196,16.2,531,AO,AGO,Bié,Calenga
Chitado,Angola,Africa ,-17.3196,13.92,500,AO,AGO,Cunene,Chitado
Cazombo,Angola,Africa ,-11.8896,22.9,298,AO,AGO,Moxico,Cazombo
Quipungo,Angola,Africa ,-14.8295,14.55,186,AO,AGO,Huíla,Quipungo
Luiana,Angola,Africa ,-17.3695,23,150,AO,AGO,Kuando Kubango,Luiana
Cuito Cuanavale,Angola,Africa ,-15.1596,19.17,149,AO,AGO,Kuando Kubango,Cuito Cuanavale
Mucusso,Angola,Africa ,-18.0195,21.43,100,AO,AGO,Kuando Kubango,Mucusso
Saint John's,Antigua And Barbuda,South/Latin America ,17.1211,-61.8447,21926,AG,ATG,Saint John,Saint John’s
Buenos Aires,Argentina,South/Latin America ,-34.5997,-58.3819,16157000,AR,ARG,"Buenos Aires, Ciudad Autónoma de",Buenos Aires
Cordoba,Argentina,South/Latin America ,-31.4167,-64.1833,1329604,AR,ARG,Córdoba,Córdoba
Rosario,Argentina,South/Latin America ,-32.9575,-60.6394,1193605,AR,ARG,Santa Fe,Rosario
San Miguel de Tucuman,Argentina,South/Latin America ,-26.8167,-65.2167,605767,AR,ARG,Tucumán,San Miguel de Tucumán
Mar del Plata,Argentina,South/Latin America ,-38,-57.55,593337,AR,ARG,Buenos Aires,Mar del Plata
Salta,Argentina,South/Latin America ,-24.7883,-65.4106,535303,AR,ARG,Salta,Salta
San Juan,Argentina,South/Latin America ,-31.5375,-68.5364,471389,AR,ARG,San Juan,San Juan
Lanus,Argentina,South/Latin America ,-34.7,-58.4,459263,AR,ARG,Buenos Aires,Lanús
Santa Fe,Argentina,South/Latin America ,-31.6333,-60.7,405683,AR,ARG,Santa Fe,Santa Fe
Corrientes,Argentina,South/Latin America ,-27.4833,-58.8167,352646,AR,ARG,Corrientes,Corrientes
San Salvador de Jujuy,Argentina,South/Latin America ,-24.1856,-65.2994,321789,AR,ARG,Jujuy,San Salvador de Jujuy
Bahia Blanca,Argentina,South/Latin America ,-38.7167,-62.2667,299101,AR,ARG,Buenos Aires,Bahía Blanca
Resistencia,Argentina,South/Latin America ,-27.4514,-58.9867,291720,AR,ARG,Chaco,Resistencia
Posadas,Argentina,South/Latin America ,-27.3667,-55.8969,275988,AR,ARG,Misiones,Posadas
Santiago del Estero,Argentina,South/Latin America ,-27.7844,-64.2669,252192,AR,ARG,Santiago del Estero,Santiago del Estero
Parana,Argentina,South/Latin America ,-31.7444,-60.5175,247863,AR,ARG,Entre Ríos,Paraná
Merlo,Argentina,South/Latin America ,-34.6653,-58.7275,244168,AR,ARG,Buenos Aires,Merlo
Gonzalez Catan,Argentina,South/Latin America ,-34.7708,-58.6464,238067,AR,ARG,Buenos Aires,González Catán
Quilmes,Argentina,South/Latin America ,-34.7167,-58.2667,230810,AR,ARG,Buenos Aires,Quilmes
Neuquen,Argentina,South/Latin America ,-38.9573,-68.0455,231198,AR,ARG,Neuquén,Neuquén
Jose C. Paz,Argentina,South/Latin America ,-34.5167,-58.7667,216637,AR,ARG,Buenos Aires,José C. Paz
Formosa,Argentina,South/Latin America ,-26.1847,-58.1758,222226,AR,ARG,Formosa,Formosa
Isidro Casanova,Argentina,South/Latin America ,-34.7,-58.5833,190696,AR,ARG,Buenos Aires,Isidro Casanova
Godoy Cruz,Argentina,South/Latin America ,-32.9167,-68.8333,191299,AR,ARG,Mendoza,Godoy Cruz
La Plata,Argentina,South/Latin America ,-34.9333,-57.95,186527,AR,ARG,Buenos Aires,La Plata
Berazategui,Argentina,South/Latin America ,-34.7679,-58.2133,180523,AR,ARG,Buenos Aires,Berazategui
La Rioja,Argentina,South/Latin America ,-29.4131,-66.8558,180995,AR,ARG,La Rioja,La Rioja
Comodoro Rivadavia,Argentina,South/Latin America ,-45.8667,-67.5,173266,AR,ARG,Chubut,Comodoro Rivadavia
San Luis,Argentina,South/Latin America ,-33.2994,-66.3392,169947,AR,ARG,San Luis,San Luis
Jose Maria Ezeiza,Argentina,South/Latin America ,-34.8333,-58.5167,160219,AR,ARG,Buenos Aires,José María Ezeiza
San Nicolas de los Arroyos,Argentina,South/Latin America ,-33.3333,-60.2167,160000,AR,ARG,Buenos Aires,San Nicolás de los Arroyos
Catamarca,Argentina,South/Latin America ,-28.4686,-65.7792,159139,AR,ARG,Catamarca,Catamarca
Rafael Castillo,Argentina,South/Latin America ,-34.7167,-58.6167,147965,AR,ARG,Buenos Aires,Rafael Castillo
Florencio Varela,Argentina,South/Latin America ,-34.8167,-58.3833,146704,AR,ARG,Buenos Aires,Florencio Varela
Concordia,Argentina,South/Latin America ,-31.3922,-58.0169,149450,AR,ARG,Entre Ríos,Concordia
San Justo,Argentina,South/Latin America ,-34.6833,-58.55,136604,AR,ARG,Buenos Aires,San Justo
Temperley,Argentina,South/Latin America ,-34.7667,-58.3833,121451,AR,ARG,Buenos Aires,Temperley
Ramos Mejia,Argentina,South/Latin America ,-34.65,-58.5667,120346,AR,ARG,Buenos Aires,Ramos Mejía
San Martin,Argentina,South/Latin America ,-33.0806,-68.4706,117399,AR,ARG,Mendoza,San Martín
Mendoza,Argentina,South/Latin America ,-32.8833,-68.8333,114822,AR,ARG,Mendoza,Mendoza
Tandil,Argentina,South/Latin America ,-37.3167,-59.1333,116917,AR,ARG,Buenos Aires,Tandil
Puerto Madryn,Argentina,South/Latin America ,-42.773,-65.0366,115353,AR,ARG,Chubut,Puerto Madryn
Bernal,Argentina,South/Latin America ,-34.7,-58.2833,109914,AR,ARG,Buenos Aires,Bernal
Castelar,Argentina,South/Latin America ,-34.65,-58.65,107786,AR,ARG,Buenos Aires,Castelar
San Carlos de Bariloche,Argentina,South/Latin America ,-41.15,-71.3,112887,AR,ARG,Río Negro,San Carlos de Bariloche
Esteban Echeverria,Argentina,South/Latin America ,-34.8167,-58.4667,109644,AR,ARG,Buenos Aires,Esteban Echeverría
Tablada,Argentina,South/Latin America ,-34.6833,-58.5333,102542,AR,ARG,Buenos Aires,Tablada
Villa Mercedes,Argentina,South/Latin America ,-33.6667,-65.4667,111391,AR,ARG,San Luis,Villa Mercedes
Gualeguaychu,Argentina,South/Latin America ,-33.0078,-58.5111,109461,AR,ARG,Entre Ríos,Gualeguaychú
San Rafael,Argentina,South/Latin America ,-34.6175,-68.3356,107997,AR,ARG,Mendoza,San Rafael
Moron,Argentina,South/Latin America ,-34.65,-58.6167,99066,AR,ARG,Buenos Aires,Morón
La Banda,Argentina,South/Latin America ,-27.7333,-64.25,106441,AR,ARG,Santiago del Estero,La Banda
Villa Luzuriaga,Argentina,South/Latin America ,-34.6667,-58.5833,94403,AR,ARG,Buenos Aires,Villa Luzuriaga
Caseros,Argentina,South/Latin America ,-34.6167,-58.5333,95785,AR,ARG,Buenos Aires,Caseros
Santa Rosa,Argentina,South/Latin America ,-36.6203,-64.2906,103860,AR,ARG,La Pampa,Santa Rosa
Libertad,Argentina,South/Latin America ,-34.6833,-58.6833,100324,AR,ARG,Buenos Aires,Libertad
Burzaco,Argentina,South/Latin America ,-34.8167,-58.3667,98859,AR,ARG,Buenos Aires,Burzaco
Berisso,Argentina,South/Latin America ,-34.8667,-57.8667,101123,AR,ARG,Buenos Aires,Berisso
